productId,product,Gender,Category,Sub-category,Design,Fabric make,Fit,Cotton content (%),Polyester content (%),Color,Pair with 1,Pair with 2,Machine washable,Medium rise,Elastic cord,Banded bottom,Deep pockets,Double-needle stitch,Articulated knees,Storage pockets,L-shaped front pockets,Pitch type,imgageUrl
https://www.walmart.com/ip/Fruit-of-the-Loom-Men-s-and-Big-Men-s-Eversoft-Elastic-Bottom-Sweatpants-up-to-Size-4XL/409041542,Fruit of the Loom,,pants,sweatpants,fleece,EverSoft ring spun cotton,,60,40,multiple,,,yes,,yes,yes,yes,yes,,,,acrtive comfort,https://i5.walmartimages.com/asr/0bf8a174-c343-4f04-9e00-c6b5e577c595.693b298134288596558f5c5f3258adf8.jpeg
https://www.walmart.com/ip/George-Men-s-Relaxed-Fit-Jean/150422290,George,M,pants,jeans,classic,,,100,,multiple,tie,shirt,yes,,,,,,,,,george,https://i5.walmartimages.com/asr/6215dd9c-24f7-4798-b5af-4eca21d0dbac_1.24ce9de8add2acb602cb9396d0d43983.jpeg
https://www.walmart.com/ip/Genuine-Dickies-Men-s-and-Big-Men-s-Ripstop-Range-Pant/890477480,Genuine Dickies Range,,pants,,straight leg,ripstop,relaxed,,,"Desert Sand, Tactical Green",,,,,,,,,yes,yes,yes,,https://i5.walmartimages.com/asr/de5b476f-8f3e-4cde-a6c7-9414a7cc261c_1.76b62bbfb2ca51502650740e858fd0a4.jpeg
https://www.walmart.com/ip/Signature-by-Levi-Strauss-Co-Women-s-Modern-Bootcut-Jeans/55701888,Signature by Levi Strauss & Co.™ ,W,pants,jeans,modern,Simply Stretch denim,bootcut,,,,,,,,,,,,,,,,https://i5.walmartimages.com/asr/3b354059-407d-43e8-9400-81b906be11db_1.6da40160f8a646b3b7e14b58af20f0e3.jpeg
https://www.walmart.com/ip/Signature-by-Levi-Strauss-Co-Women-s-Modern-Skinny-Jeans/947550558,Signature by Levi Strauss & Co.™,W,pants,jeans,updated vintage-style,"soft, lightweight",skinny,,,,,,,yes,,,,,,,,,https://i5.walmartimages.com/asr/00641b1d-de7f-423b-8e83-61aed134d532.0a49dcd62fe28de8c7a29ea2f933a2a7.jpeg
https://www.walmart.com/ip/Athletic-Work-Women-s-Athleisure-Knit-Capri-Pants/409166250,Athletic Works',W,pants,,knit capri,,,,,,,,,,,,,,,,,athletic,https://i5.walmartimages.com/asr/79327863-2e60-4ebf-ac68-5b5de1e5c1c4_1.86852c152f09f60e9a52bd6fc090e00b.jpeg
