attr-fabric,attr-ideal-for,attr-number-of-contents-in-sales-package,attr-pattern,attr-style-code,attr-type,category-0,category-1,category-2,category-3,category-4,category-5,imageUrl,maker,product,productId,product_url,retail_price,uniq_id
Polyester,Women's,,Polka Print,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Identiti Dresses,http://img6a.flixcart.com/image/dress/z/u/4/851-3186-identiti-36-original-imadqwx8hgsenzrh.jpeg,,Identiti Women's Layered Dress,c13ed4754eb1c1f762a2c3e593d7d899,http://www.flipkart.com/identiti-women-s-layered-dress/p/itmdqw5hvhxfxqz2?pid=DREDQW5KQHTJGA2G,1199,c13ed4754eb1c1f762a2c3e593d7d899
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img6a.flixcart.com/image/dress/v/r/m/1-1-hc1362-hugo-chavez-m-original-imae6bfqm4ajcy6t.jpeg,,Hugo Chavez Women's Maxi Dress,e27f12cf4f442c62c3fcc2a321bb69c4,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itme6d3eg4y82dg2?pid=DREE6D3EH72SVHZH,2499,e27f12cf4f442c62c3fcc2a321bb69c4
Polyster,Women's,Pack of 1,Geometric Print,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mayra Dresses,http://img6a.flixcart.com/image/dress/q/u/5/1-1-1510d19242-mayra-l-original-imaechzytxcxwmq4.jpeg,,Mayra Women's Maxi Dress,89ccc84239d1f4aabeaad107a1f6ee77,http://www.flipkart.com/mayra-women-s-maxi-dress/p/itmecgq8jtmg5fgh?pid=DREECGQ8Y4WC3QU5,995,89ccc84239d1f4aabeaad107a1f6ee77
Net,Women's,,"Solid, Self Design",,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mayra Dresses,http://img6a.flixcart.com/image/dress/q/g/2/15d019006-mayra-s-1100x1360-imae2x6tc3wx22pz.jpeg,,Mayra Women's Shift Dress,28e5622a15524e79cee07cf2f213cc0c,http://www.flipkart.com/mayra-women-s-shift-dress/p/itme36fmnmzjsey7?pid=DREE36FNVWHKJQG2,1995,28e5622a15524e79cee07cf2f213cc0c
polyester,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Heart Made Dresses,http://img6a.flixcart.com/image/dress/n/q/h/1-1-hmd-86-b-heart-made-xl-original-imaebzyejekgbnje.jpeg,,Heart Made Women's Gathered Dress,0bb52e1ca664a736043bd5d513c0d288,http://www.flipkart.com/heart-made-women-s-gathered-dress/p/itmebqbxpmymeyk8?pid=DREEBQBXZVUJQTQQ,1500,0bb52e1ca664a736043bd5d513c0d288
Polyester,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,L'appel Du Vide Dresses,http://img5a.flixcart.com/image/dress/a/h/z/1-1-spdr-bl-13-l-appel-du-vide-l-original-imaebgqgk3kbxfqe.jpeg,,L'appel Du Vide Women's Shift Dress,6878e2e01f5514c3ef8135f1d88c7aad,http://www.flipkart.com/l-appel-du-vide-women-s-shift-dress/p/itmebmgmnvymhnwh?pid=DREEBMGMTXPQEAHZ,1599,6878e2e01f5514c3ef8135f1d88c7aad
Georgette,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,House Of Tantrums Dresses,http://img6a.flixcart.com/image/dress/y/x/u/1-1-drs016-house-of-tantrums-s-original-imae9qy5s64hkeqz.jpeg,,House Of Tantrums Women's Shift Dress,cc55f1f294cf28b158f0e206ea1f7898,http://www.flipkart.com/house-tantrums-women-s-shift-dress/p/itme9r3rbgbarddq?pid=DREE9R3RXGYMEYXU,999,cc55f1f294cf28b158f0e206ea1f7898
Nylon,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kasturi Dresses,http://img5a.flixcart.com/image/dress/c/2/u/1-1-kasg-83-kasturi-l-original-imaeahj4dv95kbv8.jpeg,,Kasturi Women's Gathered Dress,88b0fb1d27bd133ff70f6609e2e04c73,http://www.flipkart.com/kasturi-women-s-gathered-dress/p/itmeagzyndnpxztu?pid=DREEAGZYZRQJHSFE,2399,88b0fb1d27bd133ff70f6609e2e04c73
Poly Crepe,Women's,Pack of 1,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Juniper Dresses,http://img6a.flixcart.com/image/dress/p/n/a/1-1-30613black-white-juniper-s-original-imaebzyfrkygk34a.jpeg,,Juniper Women's Empire Waist Dress,e54ace36bcee86c02a02c966cbce201f,http://www.flipkart.com/juniper-women-s-empire-waist-dress/p/itmebpe7jtzzawcw?pid=DREEBPE8ERZCYPNA,1499,e54ace36bcee86c02a02c966cbce201f
Viscose Stretch,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Latin Quarters Dresses,http://img6a.flixcart.com/image/dress/b/4/z/1-1-lqd3415-plum-latin-quarters-xl-original-imae8gb3mxhvbgq2.jpeg,,Latin Quarters Women's Shift Dress,7ea486f1bfcce7851901713ca610b181,http://www.flipkart.com/latin-quarters-women-s-shift-dress/p/itme8fwq5kcrqjdd?pid=DREE8FWR542TYSH5,1890,7ea486f1bfcce7851901713ca610b181
