attr-fabric,attr-ideal-for,attr-number-of-contents-in-sales-package,attr-pattern,attr-style-code,attr-type,category-0,category-1,category-2,category-3,category-4,category-5,imageUrl,maker,product,productId,product_url,retail_price,uniq_id
Cotton Jersey,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,La Stella Dresses,http://img6a.flixcart.com/image/dress/3/8/h/1-1-wr15117-blk-la-stella-s-original-imae9h4frj8ne3zz.jpeg,,La Stella Women's Shift Dress,e6ef7a759fa775272bd984fddd29f64f,http://www.flipkart.com/la-stella-women-s-shift-dress/p/itme9g8cpn4hgfft?pid=DREE9G8CPJZD3FQY,1399,e6ef7a759fa775272bd984fddd29f64f
Polyester,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Martini Dresses,http://img6a.flixcart.com/image/dress/w/r/z/1-1-mart1417-martini-l-original-imae6cmxrpzxdqdr.jpeg,,Martini Women's Gathered Dress,8b6d44fdd7229e2d812af216fc196ec5,http://www.flipkart.com/martini-women-s-gathered-dress/p/itme6dphj9hn2esf?pid=DREE6DPHG6R4TWRZ,980,8b6d44fdd7229e2d812af216fc196ec5
Synthetic,Women's,Pack of 1,Floral Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss India Dresses,http://img5a.flixcart.com/image/dress/2/v/c/1-1-mibflop-s-miss-india-s-original-imae7h8g62rfpyfr.jpeg,,Miss India Women's Shift Dress,eafa34fa2e037165b3569fc377e31f3e,http://www.flipkart.com/miss-india-women-s-shift-dress/p/itme7mgznh5qz6rn?pid=DREE7MGNTWZAV2VC,1799,eafa34fa2e037165b3569fc377e31f3e
Shell: poly ggt and Slip: polyester,Women's,Pack of 1,Printed,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img6a.flixcart.com/image/dress/7/h/x/1-1-15139blk-meiro-l-original-imae87cfvfgb3xxd.jpeg,,Meiro Women's High Low Dress,705d8cbb0d3db4949ab1bdc8924924bf,http://www.flipkart.com/meiro-women-s-high-low-dress/p/itme87gtukhh6unq?pid=DREE87GTZNUGNYP9,1599,705d8cbb0d3db4949ab1bdc8924924bf
Cotton,Women's,,"Solid, Floral Print",,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Indi Bargain Dresses,http://img6a.flixcart.com/image/dress/q/u/n/ibls016g-indi-bargain-free-original-imae2gyuwj8z3dzd.jpeg,,Indi Bargain Women's Gathered Dress,d3cc94d80ba5aee430f908bb515c3566,http://www.flipkart.com/indi-bargain-women-s-gathered-dress/p/itme2j3f2ufmhjfs?pid=DREE2J3FEARC9QUN,1799,d3cc94d80ba5aee430f908bb515c3566
Viscose,Women's,,Solid,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mariemillie Dresses,http://img5a.flixcart.com/image/dress/p/r/8/1-1-mms15s0741-black-f-mariemillie-m-original-imaea8syyt8rnzxs.jpeg,,Mariemillie Women's High Low Dress,e3352d263366e4d3ab8840c1f999ce92,http://www.flipkart.com/mariemillie-women-s-high-low-dress/p/itmeaz4guregwhjf?pid=DREEAZ4HUYXZK872,1199,e3352d263366e4d3ab8840c1f999ce92
Cotton,Women's,Pack of 1,Floral Print,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Jaipur Craft Shop Dresses,http://img6a.flixcart.com/image/dress/h/g/d/1-1-dress0001-jaipur-craft-shop-m-original-imaeb6sy2f6hvhnt.jpeg,,Jaipur Craft Shop Women's Empire Waist Dress,edddf77c586a5084b738034a4678f500,http://www.flipkart.com/jaipur-craft-shop-women-s-empire-waist-dress/p/itmebcf8qvrvnqf3?pid=DREEBCF89BPFGHGD,899,edddf77c586a5084b738034a4678f500
Polyester Georgette,Women's,Pack of 1,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Latin Quarters Dresses,http://img6a.flixcart.com/image/dress/m/a/4/1-1-lqd3763-peach-latin-quarters-m-original-imae7gqghejfyhcd.jpeg,,Latin Quarters Women's Gathered Dress,d6e292fd87e88dd3f764305cf89a1999,http://www.flipkart.com/latin-quarters-women-s-gathered-dress/p/itme7guqwtm4xxf7?pid=DREE7GUQG4WMVEN7,2100,d6e292fd87e88dd3f764305cf89a1999
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/n/z/k/1-1-hc1423-hugo-chavez-s-original-imae6vdfnwueyd7j.jpeg,,Hugo Chavez Women's Maxi Dress,5545ea2e8e8962f91ae846f60e3f85df,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itme6vtrj9txwxcx?pid=DREE6VTRBEX44KBP,2499,5545ea2e8e8962f91ae846f60e3f85df
Polyester,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,MSMB Dresses,http://img6a.flixcart.com/image/dress/y/7/e/1-1-mb0033b-msmb-s-original-imaea429ywnxnkzs.jpeg,,MSMB Women's Shift Dress,b5707fd2be4919ea1fa5b9b6b38c9436,http://www.flipkart.com/msmb-women-s-shift-dress/p/itmea4dtt374fwgz?pid=DREEA4DUZWJZQNEU,1299,b5707fd2be4919ea1fa5b9b6b38c9436
Net,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mayra Dresses,http://img5a.flixcart.com/image/dress/s/f/a/1-1-1510d19222-mayra-s-original-imaecgmmuurh7ygx.jpeg,,Mayra Women's Shift Dress,99ce1468a460eb17e49951422177412b,http://www.flipkart.com/mayra-women-s-shift-dress/p/itmecgq89cyhsz5e?pid=DREECGQ8XDT5QSFA,895,99ce1468a460eb17e49951422177412b
Polyester,Women's,Pack of 1,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,L'appel Du Vide Dresses,http://img6a.flixcart.com/image/dress/b/v/p/1-1-spdr-r-16-l-appel-du-vide-xs-original-imaebgqmvhyxrszz.jpeg,,L'appel Du Vide Women's Sheath Dress,d79674809154a85634a05fa864136d10,http://www.flipkart.com/l-appel-du-vide-women-s-sheath-dress/p/itmebng2hsatqcnr?pid=DREEBNG3PHZZ3PKY,1499,d79674809154a85634a05fa864136d10
,Women's,,Printed,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kytes Dresses,http://img5a.flixcart.com/image/dress/c/p/r/5040-1-kytes-s-original-imaeymuzzsszfgun.jpeg,,Kytes Women's Layered Dress,ac0182939a2ef224bb974012245f9786,http://www.flipkart.com/kytes-women-s-layered-dress/p/itmeyjtwmftwrjm9?pid=DREEYJTWYH4WTCPR,1995,ac0182939a2ef224bb974012245f9786
Crepe,Women's,Pack of 1,Geometric Print,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Holidae Dresses,http://img6a.flixcart.com/image/dress/m/h/d/1-1-md084-holidae-m-original-imaeax2qhthkytzm.jpeg,,Holidae Women's High Low Dress,8c6e7defda5bacc40b750171fd458aa8,http://www.flipkart.com/holidae-women-s-high-low-dress/p/itmeazpfrfgzxng3?pid=DREEAZPF6H247UDF,1250,8c6e7defda5bacc40b750171fd458aa8
Chiffon,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meraki Dresses,http://img5a.flixcart.com/image/dress/f/e/z/1-1-meraki045-meraki-m-original-imae9rtpzymmhq8y.jpeg,,Meraki Women's Maxi Dress,79e3d0b8ad6a9fa7a96d89e1198e4408,http://www.flipkart.com/meraki-women-s-maxi-dress/p/itme9zyb7aakf5gs?pid=DREE9ZYASPBJTFEZ,1199,79e3d0b8ad6a9fa7a96d89e1198e4408
Rayon,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kaxiaa Dresses,http://img5a.flixcart.com/image/dress/5/n/k/1-1-k-1140c-kaxiaa-s-original-imae96rbyfgvp7kd.jpeg,,Kaxiaa Women's Shift Dress,129ddf957a07fe6482fb89c3a384ab01,http://www.flipkart.com/kaxiaa-women-s-shift-dress/p/itme978e3abv8mgd?pid=DREE978EGZCF7DX8,1299,129ddf957a07fe6482fb89c3a384ab01
Georgette,Women's,,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,LADY STARK Dresses,http://img6a.flixcart.com/image/dress/n/j/x/1-1-lsdr4023-lady-stark-m-original-imaebs93qdznggsm.jpeg,,LADY STARK Women's Maxi Dress,39f2aa8e1f6178f5c5e348414b9ddbb0,http://www.flipkart.com/lady-stark-women-s-maxi-dress/p/itmebsfyg6czef3p?pid=DREEBSFYMUHT9NJX,2890,39f2aa8e1f6178f5c5e348414b9ddbb0
Polyester,Women's,,Striped,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kasturi Dresses,http://img6a.flixcart.com/image/dress/2/h/t/1-1-kasg171-kasturi-s-original-imaecbc2sj4j9mzt.jpeg,,Kasturi Women's Gathered Dress,d3c443805ee0eef27627abf0382c4aea,http://www.flipkart.com/kasturi-women-s-gathered-dress/p/itmecbjgzyyd6vtp?pid=DREECBJGYS4KV2HT,2399,d3c443805ee0eef27627abf0382c4aea
Cotton,Women's,Pack of 1,Printed,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,India Inc Dresses,http://img6a.flixcart.com/image/dress/y/p/x/24015crbwn4-india-inc-l-original-imaebsnmnrzd9bzu.jpeg,,India Inc Women's Gathered Dress,f753224fcea32e28bdef8521bcdc88d6,http://www.flipkart.com/india-inc-women-s-gathered-dress/p/itmed87seyaugjfh?pid=DREED87SY2EKYB87,1299,f753224fcea32e28bdef8521bcdc88d6
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img6a.flixcart.com/image/dress/w/c/e/1-1-hc1630-hugo-chavez-l-original-imaeaszawrye6jfz.jpeg,,Hugo Chavez Women's Maxi Dress,118df25b774c3732994fbf5b1e90f592,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itmeatn8zdh4zmht?pid=DREEATN9NFCHNWSH,2499,118df25b774c3732994fbf5b1e90f592
Lycra,Women's,Pack of 1,Solid,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img6a.flixcart.com/image/dress/d/g/4/mcaw14d02-82-64-miss-chase-xl-original-imae4abzqzwuawh4.jpeg,,Miss Chase Women's Bandage Dress,9771d197d40481ddebb3ec1135c27a95,http://www.flipkart.com/miss-chase-women-s-bandage-dress/p/itme4bhgdkjnsuhz?pid=DREE4BHHQKZSNPNG,1799,9771d197d40481ddebb3ec1135c27a95
Cotton,Women's,,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Legona Dresses,http://img5a.flixcart.com/image/dress/5/p/2/1-1-lf000106-s-legona-xl-original-imaeca47duycg36h.jpeg,,Legona Women's Sheath Dress,c74765b007c3651788520cd5e661333a,http://www.flipkart.com/legona-women-s-sheath-dress/p/itmecacvz4wgc3yv?pid=DREECACWVFWUG5P2,2499,c74765b007c3651788520cd5e661333a
Cotton,Women's,Pack of 1,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Indiatrendzs Dresses,http://img6a.flixcart.com/image/dress/t/z/r/i-stk-1075-indiatrendzs-37-1100x1360-imae3vrhdtqum8bj.jpeg,,Indiatrendzs Women's Gathered Dress,11d1493532d839b1dae8df774ed245cd,http://www.flipkart.com/indiatrendzs-women-s-gathered-dress/p/itme3wy25xnxaene?pid=DREE3WY2MKZ35TZR,1224,11d1493532d839b1dae8df774ed245cd
"Polyester Georgette, Polyester Stretch Jersey",Women's,,Floral Print,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kyma Dresses,http://img6a.flixcart.com/image/dress/c/y/d/sdk003-kyma-xl-original-imae2svdx8bfumht.jpeg,,Kyma Women's Maxi Dress,adb7ef8c6ccf2b3ab5582066f8cc2d25,http://www.flipkart.com/kyma-women-s-maxi-dress/p/itme2sz3tttndbsn?pid=DREE2SZ4GMNSCZCM,1800,adb7ef8c6ccf2b3ab5582066f8cc2d25
Polyester,Women's,Pack of 1,Striped,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kaxiaa Dresses,http://img6a.flixcart.com/image/dress/3/f/v/1-1-k-1091apk-kaxiaa-l-original-imaebpx8uzecsrga.jpeg,,Kaxiaa Women's Gathered Dress,74683532d2f899b4e7c6297df77e8e58,http://www.flipkart.com/kaxiaa-women-s-gathered-dress/p/itmebqf7feyrywrg?pid=DREEBQF7EBNSPMG5,999,74683532d2f899b4e7c6297df77e8e58
"Georgette, viscose",Women's,Pack of 1,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Jiiah Dresses,http://img5a.flixcart.com/image/dress/h/f/h/1-1-navy-blue-003-jiiah-s-original-imae2hsm8zsyvwer.jpeg,,Jiiah Women's Sheath Dress,ef7b91a6a9ac06f2dafb02008ea494cc,http://www.flipkart.com/jiiah-women-s-sheath-dress/p/itmecefrupzddvqg?pid=DREECEFSFHNGMSZN,999,ef7b91a6a9ac06f2dafb02008ea494cc
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img6a.flixcart.com/image/dress/x/3/b/1-1-hc1623-hugo-chavez-m-original-imaeaszaqyejwhjs.jpeg,,Hugo Chavez Women's Maxi Dress,8a26dc77ef65a0dca7cdf3562497b636,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itmeatn87rzspthn?pid=DREEATN8XNXRY6EY,2499,8a26dc77ef65a0dca7cdf3562497b636
Georgette,Women's,,Floral Print,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hermosear Dresses,http://img5a.flixcart.com/image/dress/y/c/d/1-1-1486yflw-hermosear-m-original-imaechff5g3d3yt6.jpeg,,Hermosear Women's Maxi Dress,ce3eea315447a5c6abd044686a48be92,http://www.flipkart.com/hermosear-women-s-maxi-dress/p/itmecmgfzuvmjcr2?pid=DREECMGFWVZMQWMM,2199,ce3eea315447a5c6abd044686a48be92
Cotton,Women's,Pack of 1,Solid,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Indi Bargain Dresses,http://img5a.flixcart.com/image/dress/r/c/b/1-1-112white-indi-bargain-free-1000x1000-imae5n5qjzpaatjj.jpeg,,Indi Bargain Women's High Low Dress,30a329b34d714b51c4d442cd18961905,http://www.flipkart.com/indi-bargain-women-s-high-low-dress/p/itme5m4zyrceyjyy?pid=DREE5M4ZXSC7GRCB,1999,30a329b34d714b51c4d442cd18961905
Poly Crepe,Women's,Pack of 1,Geometric Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kwardrobe Dresses,http://img5a.flixcart.com/image/dress/c/m/u/1-1-ss-231-kwardrobe-xxl-original-imae8fz6gzwzmwfs.jpeg,,Kwardrobe Women's Shift Dress,7d22483ce9c23a2ba9e1474ffa68ff18,http://www.flipkart.com/kwardrobe-women-s-shift-dress/p/itme86atezthavff?pid=DREE86ATJ2HY7ZFG,1199,7d22483ce9c23a2ba9e1474ffa68ff18
Polyester,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kasturi Dresses,http://img6a.flixcart.com/image/dress/t/s/k/1-1-kasg-92-kasturi-m-original-imaeahhjnguah9r6.jpeg,,Kasturi Women's Gathered Dress,bc33dc3e408230e9d72baceb6004f0be,http://www.flipkart.com/kasturi-women-s-gathered-dress/p/itmebg7gwz5shqqn?pid=DREEBG7GWYHRYSQX,2399,bc33dc3e408230e9d72baceb6004f0be
Polyester,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,MSMB Dresses,http://img5a.flixcart.com/image/dress/d/y/d/1-1-mb0028a-msmb-m-original-imaea429r8y9jwkx.jpeg,,MSMB Women's Shift Dress,455078e4fa35d1e56cfd5f11fb79a7af,http://www.flipkart.com/msmb-women-s-shift-dress/p/itmea4dtggmq6gjv?pid=DREEA4DTCKTY3GJZ,1299,455078e4fa35d1e56cfd5f11fb79a7af
Lycra,Women's,Pack of 1,Floral Print,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img6a.flixcart.com/image/dress/m/5/w/1-1-hc1592dupq-hugo-chavez-s-original-imaeaszaszs6kqge.jpeg,,Hugo Chavez Women's Sheath Dress,f7b1e0a1efcff0a25891c2c4bb2754fe,http://www.flipkart.com/hugo-chavez-women-s-sheath-dress/p/itmeaxe3kwgx5tqh?pid=DREEAXE3WF3WZM5W,2499,f7b1e0a1efcff0a25891c2c4bb2754fe
Georgette,Women's,,Solid,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Lady Stark Dresses,http://img5a.flixcart.com/image/dress/k/u/p/1-1-lsdr-2014-lady-stark-xl-original-imae4ykdzguadvag.jpeg,,Lady Stark Women's High Low Dress,6c7f59a9b77605880f6fe96523b33e4f,http://www.flipkart.com/lady-stark-women-s-high-low-dress/p/itme4yvsjctsxnnh?pid=DREE4YVSX4N6FNVH,2690,6c7f59a9b77605880f6fe96523b33e4f
Nylon,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kasturi Dresses,http://img5a.flixcart.com/image/dress/3/c/z/1-1-kasg-85-kasturi-m-original-imaeahjbwz2ujgqq.jpeg,,Kasturi Women's Gathered Dress,3c1f5af26bc0c74106894a4522854c0d,http://www.flipkart.com/kasturi-women-s-gathered-dress/p/itmebfdwgvghjtum?pid=DREEBFDWNQSGF3CZ,2399,3c1f5af26bc0c74106894a4522854c0d
100% polyester,Women's,,"Printed, Solid",,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/y/g/k/14102fuschia-meiro-l-original-imaef3x5fmzxahyx.jpeg,,Meiro Women's Shift Dress,4deef688073c8b805ca519199e1a4a01,http://www.flipkart.com/meiro-women-s-shift-dress/p/itmef5xdzfhzraya?pid=DREEF5XDVZBZMYGK,1299,4deef688073c8b805ca519199e1a4a01
Cotton,Women's,,Printed,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img6a.flixcart.com/image/dress/q/d/f/lbd428-ladybug-xl-original-imadu9atkf3pz6yh.jpeg,,Ladybug Women's Bandage Dress,ac2a336498f6ce53f20c8faca68c1dd1,http://www.flipkart.com/ladybug-women-s-bandage-dress/p/itmdtqc9ck6w5xdg?pid=DREDTQC9UCHXMQDF,899,ac2a336498f6ce53f20c8faca68c1dd1
Georgette,Women's,,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Lady Stark Dresses,http://img6a.flixcart.com/image/dress/s/j/g/1-1-lsdr-2041-lady-stark-m-original-imae58h5kzznfhkq.jpeg,,Lady Stark Women's Shift Dress,261ce2274bd8f7492108cd12559c1b60,http://www.flipkart.com/lady-stark-women-s-shift-dress/p/itme6wxsn9auz8pd?pid=DREE6WXSHYJ9ZJEH,2280,261ce2274bd8f7492108cd12559c1b60
Georgette,Women's,Pack of 1,Floral Print,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/g/6/y/1-1-hc1611dupq-hugo-chavez-xl-original-imaeaszassymtm3w.jpeg,,Hugo Chavez Women's Sheath Dress,a85db5279a10d449d3894579534dedcc,http://www.flipkart.com/hugo-chavez-women-s-sheath-dress/p/itmeaxe3h7zphzny?pid=DREEAXE3XMJTZBAG,2499,a85db5279a10d449d3894579534dedcc
Polyester,Women's,Pack of 1,Printed,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Karyn Dresses,http://img6a.flixcart.com/image/dress/s/h/z/1-1-klc-228-lb-karyn-l-original-imae9qrhyddjnzey.jpeg,,Karyn Women's High Low Dress,b131022154de745517191ba907e656c9,http://www.flipkart.com/karyn-women-s-high-low-dress/p/itme9qy9qsexzf2p?pid=DREE9QY9NFZ2J7RD,899,b131022154de745517191ba907e656c9
Crepe,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Inblue Fashions Dresses,http://img6a.flixcart.com/image/dress/z/b/a/1-1-inbwst013-inblue-fashions-xxl-original-imae9aa47jgp3s4r.jpeg,,Inblue Fashions Women's Shift Dress,6a22dbbe5f4c480c0ff75eff6865134a,http://www.flipkart.com/inblue-fashions-women-s-shift-dress/p/itme9agtstjhkrfh?pid=DREE9AGTUVB3VZBA,899,6a22dbbe5f4c480c0ff75eff6865134a
,Women's,,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/x/y/m/14116wne-meiro-m-original-imae2gkx7mvvqcch.jpeg,,Meiro Women's Shift Dress,1b3d2959f9aaa5ca393e5fa1677131d1,http://www.flipkart.com/meiro-women-s-shift-dress/p/itme2hzrufwrdtnj?pid=DREE2HZSUCGV28BW,1499,1b3d2959f9aaa5ca393e5fa1677131d1
Polyester,Women's,Pack of 1,Solid,,Top,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Martini Dresses,http://img6a.flixcart.com/image/top/n/x/b/1-1-mart1522-martini-m-original-imaec36ffkp6twza.jpeg,,Martini Party Sleeveless Solid Women's Top,04f420989d4d30df44eaad61edc7140e,http://www.flipkart.com/martini-party-sleeveless-solid-women-s-top/p/itmec89vfjqzswda?pid=TOPEC89WEGZXSTDX,699,04f420989d4d30df44eaad61edc7140e
Viscose,Women's,Pack of 1,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meish Dresses,http://img5a.flixcart.com/image/dress/v/5/r/1-1-me129wht-meish-l-original-imaeajrdqe6kbshy.jpeg,,Meish Women's Sheath Dress,19a88bdc2b1a8f21804c731c9c946bbe,http://www.flipkart.com/meish-women-s-sheath-dress/p/itmeakzwhkkg83ex?pid=DREEAKZWTDF22V5R,899,19a88bdc2b1a8f21804c731c9c946bbe
Georgette,Women's,,Animal Print,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Karishma Dresses,http://img6a.flixcart.com/image/dress/r/f/m/kf-303-karishma-s-original-imadyyprvm6xbgef.jpeg,,Karishma Women's Gathered Dress,6fd0eb5bde6b75c6be669e716c15c47a,http://www.flipkart.com/karishma-women-s-gathered-dress/p/itmdxxnfvtekf8w4?pid=DREDXXNFYCD2VEXN,1599,6fd0eb5bde6b75c6be669e716c15c47a
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img6a.flixcart.com/image/dress/y/y/z/1-1-hc1475-hugo-chavez-s-original-imae8abstwrmkgzv.jpeg,,Hugo Chavez Women's Maxi Dress,8c2466fb228af7216fe1e160e24cc310,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itme8ahxvfzqkdzh?pid=DREE8AHXBEQN43BA,2499,8c2466fb228af7216fe1e160e24cc310
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ishin Dresses,http://img5a.flixcart.com/image/dress/e/w/u/1-1-indwt-101-ishin-s-original-imae38kxnzdjh4dj.jpeg,,Ishin Women's Maxi Dress,12f92790c7c733680c76f34dac2669b3,http://www.flipkart.com/ishin-women-s-maxi-dress/p/itme3d2nhhsfqrcf?pid=DREE3D2NTZXV6JSZ,1399,12f92790c7c733680c76f34dac2669b3
Cotton,Women's,,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Indi Bargain Dresses,http://img6a.flixcart.com/image/dress/h/9/6/ibls008g-indi-bargain-free-original-imaeffa3n3csfchz.jpeg,,Indi Bargain Women's Maxi Dress,7f5bb0d80d38b53e747b2bd6c4c7c982,http://www.flipkart.com/indi-bargain-women-s-maxi-dress/p/itmefg6hgfx6gzbu?pid=DREEFG6HR8AV8H96,2249,7f5bb0d80d38b53e747b2bd6c4c7c982
Lycra,Women's,Pack of 1,Solid,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Inmark Dresses,http://img6a.flixcart.com/image/dress/k/s/4/1-1-indr000095-teal-f-inmark-xs-original-imae6scyagge8wvr.jpeg,,Inmark Women's Empire Waist Dress,076c09bb6441abc0810ddf61d090c26e,http://www.flipkart.com/inmark-women-s-empire-waist-dress/p/itme6udpg4ngdfhz?pid=DREE6UDPZG25JH28,1099,076c09bb6441abc0810ddf61d090c26e
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/n/d/x/1-1-hc1719-hugo-chavez-m-original-imaeb5tdmjpkadpq.jpeg,,Hugo Chavez Women's Maxi Dress,c615758545e0a18a9a145303b90e8237,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itmeb5wfsjxxzjzs?pid=DREEB5WFXRNKPJQB,2499,c615758545e0a18a9a145303b90e8237
Georgette,Women's,,Self Design,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mayra Dresses,http://img5a.flixcart.com/image/dress/v/y/n/1-1-1508d19180-mayra-m-original-imaeahgwzrutzugg.jpeg,,Mayra Women's High Low Dress,a7e82855190f88bb53e9d5af9d9ad712,http://www.flipkart.com/mayra-women-s-high-low-dress/p/itmeagsymmewee3c?pid=DREEAGSYW6SCC66B,1995,a7e82855190f88bb53e9d5af9d9ad712
Nylon Blend,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,L'appel Du Vide Dresses,http://img5a.flixcart.com/image/dress/s/x/e/1-1-spd1-l-appel-du-vide-s-original-imaebfxvzdbcxqpg.jpeg,,L'appel Du Vide Women's Shift Dress,eb054dd4ed06d8326939dfe089427613,http://www.flipkart.com/l-appel-du-vide-women-s-shift-dress/p/itmebg9ag9zxxzzf?pid=DREEBG9AQKX8FHUX,1999,eb054dd4ed06d8326939dfe089427613
Cotton,Women's,,Striped,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,IDK Woman Dresses,http://img5a.flixcart.com/image/dress/8/j/y/kw43-dr-103-multi-colour-f-idk-woman-8-original-imadzu46p4qjdfxk.jpeg,,IDK Woman Women's Sheath Dress,04a00893073b5cc601c794eea4b39c9d,http://www.flipkart.com/idk-woman-women-s-sheath-dress/p/itmdzt5wwzznqhyw?pid=DREDZT5WZVYKN8JY,1499,04a00893073b5cc601c794eea4b39c9d
